user,train_len,test_len,train/test,rec_len,hit,precision,recall,f1_score
268,99,30,3.3,20,3,0.15,0.1,0.12
292,342,104,3.288461538,20,11,0.55,0.105769231,0.177419355
266,138,42,3.285714286,20,7,0.35,0.166666667,0.225806452
80,128,39,3.282051282,20,6,0.3,0.153846154,0.203389831
156,305,93,3.279569892,20,5,0.25,0.053763441,0.088495575
178,59,18,3.277777778,20,4,0.2,0.222222222,0.210526316
592,72,22,3.272727273,20,10,0.5,0.454545455,0.476190476
136,85,26,3.269230769,20,7,0.35,0.269230769,0.304347826
448,1427,437,3.265446224,20,12,0.6,0.027459954,0.052516411
91,440,135,3.259259259,20,15,0.75,0.111111111,0.193548387
497,39,12,3.25,20,5,0.25,0.416666667,0.3125
154,26,8,3.25,20,2,0.1,0.25,0.142857143
559,107,33,3.242424242,20,9,0.45,0.272727273,0.339622642
129,107,33,3.242424242,20,7,0.35,0.212121212,0.264150943
554,68,21,3.238095238,20,5,0.25,0.238095238,0.243902439
297,55,17,3.235294118,20,2,0.1,0.117647059,0.108108108
380,930,288,3.229166667,20,17,0.85,0.059027778,0.11038961
520,142,44,3.227272727,20,1,0.05,0.022727273,0.03125
